Updated 09/18/25 at 06:03pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Rome Odunze,WR16,WR,CHI,6380,23.3,No,WR16,5623,,0
2026 Early 1st,,PI,,6371,,,,5743,,0
Jalen Hurts,QB4,QB,PHI,6364,27.1,No,QB4,7821,,0
Tyler Warren,TE3,TE,IND,6358,23.3,Yes,TE3,5846,,0
Chase Brown,RB9,RB,CIN,6218,25.5,No,RB11,5468,,0
James Cook,RB10,RB,BUF,6193,26.0,No,RB10,5527,,0
TreVeyon Henderson,RB11,RB,NEP,6192,22.9,Yes,RB9,5538,,0
Joe Burrow,QB5,QB,CIN,6123,28.8,No,QB5,7204,,0
Josh Jacobs,RB12,RB,GBP,5983,27.6,No,RB12,5285,,0
Christian McCaffrey,RB13,RB,SFO,5973,29.3,No,RB13,5270,,0
Derrick Henry,RB14,RB,BAL,5954,31.7,No,RB16,5142,,0
Kyren Williams,RB15,RB,LAR,5949,25.1,No,RB15,5151,,0
Breece Hall,RB16,RB,NYJ,5941,24.3,No,RB14,5269,,0
Zay Flowers,WR17,WR,BAL,5920,25.0,No,WR19,5167,,0
Rashee Rice,WR18,WR,KCC,5899,25.4,No,WR17,5205,,0
Tee Higgins,WR19,WR,CIN,5864,26.7,No,WR18,5169,,0
Travis Hunter,WR20,WR,JAC,5830,22.3,Yes,WR20,5124,,0
A.J. Brown,WR21,WR,PHI,5818,28.2,No,WR21,5122,,0
2027 Mid 1st,,PI,,5786,,,,5014,,0
Jameson Williams,WR22,WR,DET,5743,24.5,No,WR22,4886,,0
Quinshon Judkins,RB17,RB,CLE,5708,21.9,Yes,RB17,4893,,0
2026 Mid 1st,,PI,,5690,,,,5040,,0
2028 Early 1st,,PI,,5615,,,,4786,,0
Kenneth Walker III,RB18,RB,SEA,5574,24.9,No,RB18,4666,,0
Justin Herbert,QB6,QB,LAC,5555,27.5,No,QB6,6942,,0
Tucker Kraft,TE4,TE,GBP,5522,24.9,No,TE4,4941,,0
Sam LaPorta,TE5,TE,DET,5517,24.7,No,TE5,4674,,0
Ricky Pearsall,WR23,WR,SFO,5490,25.0,No,WR24,4631,,0
Matthew Golden,WR24,WR,GBP,5475,22.1,Yes,WR28,4552,,0
Chuba Hubbard,RB19,RB,CAR,5456,26.3,No,RB19,4549,,0
Xavier Worthy,WR25,WR,KCC,5455,22.4,No,WR23,4658,,0
Jordan Addison,WR26,WR,MIN,5442,23.6,No,WR26,4571,,0
DeVonta Smith,WR27,WR,PHI,5429,26.8,No,WR25,4570.99,,0
Patrick Mahomes,QB7,QB,KCC,5427,30.0,No,QB8,6274,,0
Drake Maye,QB8,QB,NEP,5406,23.0,No,QB7,6409,,0
DK Metcalf,WR28,WR,PIT,5405.99,27.8,No,WR27,4556,,0
George Pickens,WR29,WR,DAL,5398,24.5,No,WR29,4465,,0
2027 Late 1st,,PI,,5379,,,,4602,,0
2026 Late 1st,,PI,,5367,,,,4649,,0
Bo Nix,QB9,QB,DEN,5342,25.6,No,QB10,6073,,0
Travis Etienne,RB20,RB,JAC,5327,26.6,No,RB20,4435,,0
RJ Harvey,RB21,RB,DEN,5292,24.6,Yes,RB21,4416,,0
Keon Coleman,WR30,WR,BUF,5246,22.3,No,WR30,4341,,0
2028 Mid 1st,,PI,,5240,,,,4384,,0
Chris Olave,WR31,WR,NOS,5076,25.2,No,WR31,4131,,0
George Kittle,TE6,TE,SFO,5074,31.9,No,TE6,4270,,0
Colston Loveland,TE7,TE,CHI,5003,21.4,Yes,TE7,4199,,0
Jordan Love,QB10,QB,GBP,5000,26.9,No,QB9,6263,,0
Courtland Sutton,WR32,WR,DEN,4940,29.9,No,WR33,3964,,0
D.J. Moore,WR33,WR,CHI,4927,28.4,No,WR35,3841,,0
Jacory Croskey-Merritt,RB22,RB,WAS,4922,24.4,Yes,RB22,4039,,0
Terry McLaurin,WR34,WR,WAS,4914,30.0,No,WR32,4061,,0
Jaylen Waddle,WR35,WR,MIA,4885,26.8,No,WR34,3949,,0
C.J. Stroud,QB11,QB,HOU,4859,24.0,No,QB12,5506,,0
2028 Late 1st,,PI,,4852,,,,3978,,0
Baker Mayfield,QB12,QB,TBB,4739,30.4,No,QB11,5637,,0
Caleb Williams,QB13,QB,CHI,4738,23.8,No,QB13,5503,,0
